ID,startval,alpha,N,Delta,time
30905,2,1.00E-06,512,4,0.036923885345459
30906,2,1.00E-06,512,2,0.036086082458496
30907,2,1.00E-06,512,64,0.062558889389038
30908,2,1.00E-06,512,64,0.539587259292603
30909,2,1.00E-06,512,32,0.586376190185547
30910,2,1.00E-06,512,16,0.313760757446289
30911,2,1.00E-06,512,8,0.29831337928772
30912,2,1.00E-06,512,4,0.100909471511841
30913,2,1.00E-06,512,2,0.104252576828003
30914,2,1.00E-06,512,64,0.172616481781006
30915,2,1.00E-07,256,32,0.02186918258667
30916,2,1.00E-06,512,64,1.67601370811462
30917,2,1.00E-06,512,32,0.515304327011108
30918,2,1.00E-06,512,16,0.037648677825928
30919,2,1.00E-06,512,8,0.037152290344238
30920,2,1.00E-06,512,64,1.11760592460632
30921,2,1.00E-06,512,32,2.73741769790649
30922,2,1.00E-06,512,16,0.052653074264526
30923,2,1.00E-06,512,8,0.033274173736572
30924,2,1.00E-06,512,4,0.033027410507202
30925,2,1.00E-06,512,2,0.032977819442749
30926,2,1.00E-07,256,16,0.014501094818115
30927,2,1.00E-06,512,64,0.189694166183472
30928,2,1.00E-06,512,64,1.45498251914978
30929,2,1.00E-06,512,32,2.39536261558533
30930,2,1.00E-06,512,16,0.114455223083496
30931,2,1.00E-06,512,8,0.032742500305176
30932,2,1.00E-06,512,4,0.032132863998413
30933,2,1.00E-06,512,64,0.899130344390869
30934,2,1.00E-06,512,32,0.860679626464844
30935,2,1.00E-06,512,16,0.40991997718811
30936,2,1.00E-06,512,8,0.536814689636231
30937,2,1.00E-07,256,8,0.014142274856567
30938,2,1.00E-06,512,4,0.206320524215698
30939,2,1.00E-06,512,2,0.093863248825073
30940,2,1.00E-06,512,64,0.432554960250855
30941,2,1.00E-06,512,32,1.14129257202148
30942,2,1.00E-06,512,16,1.01496458053589
30943,2,1.00E-06,512,8,0.282782077789307
30944,2,1.00E-06,512,4,0.071000814437866
30945,2,1.00E-06,512,2,0.104388475418091
30946,2,1.00E-06,512,1,1.5316755771637
30947,2,1.00E-06,512,64,3.32171368598938
30948,2,1.00E-07,256,4,0.019022703170776
30949,2,1.00E-06,512,32,0.666934251785278
30950,2,1.00E-06,512,16,2.31535601615906
30951,2,1.00E-06,512,8,0.95425295829773
30952,2,1.00E-06,512,64,1.02921462059021
30953,2,1.00E-06,512,32,1.51956534385681
30954,2,1.00E-06,512,16,0.287180185317993
30955,2,1.00E-06,512,8,0.056915998458862
30956,2,1.00E-06,512,4,0.05016016960144
30957,2,1.00E-06,512,2,0.045350074768066
30958,2,1.00E-06,512,64,1.19736909866333
30959,2,1.00E-07,256,2,0.016794919967651
30960,2,1.00E-06,512,32,1.78646278381348
