Inst,alpha,N,Delta,time
newinstances/instance0_11866.npz,1,1024,128,0.6868457794189453
newinstances/instance0_11867.npz,1,1024,64,1.2848992347717285
newinstances/instance0_11868.npz,1,1024,128,1.1246910095214844
newinstances/instance0_11869.npz,1,1024,64,1.7956299781799316
newinstances/instance0_11870.npz,1,1024,32,1.0692265033721924
newinstances/instance0_11871.npz,1,1024,16,0.5502512454986572
newinstances/instance0_11872.npz,1,1024,128,1.809725284576416
newinstances/instance0_11873.npz,1,1024,64,1.2525150775909424
newinstances/instance0_11874.npz,1,1024,32,2.5494019985198975
newinstances/instance0_11875.npz,1,1024,16,0.39550185203552246
newinstances/instance0_11876.npz,1,1024,8,0.340069055557251
newinstances/instance0_11877.npz,1,1024,128,0.3716726303100586
newinstances/instance0_11878.npz,1,1024,64,1.8426344394683838
newinstances/instance0_11879.npz,1,1024,32,0.6129729747772217
newinstances/instance0_11880.npz,1,1024,16,0.2180323600769043
newinstances/instance0_11881.npz,1,1024,128,1.960202693939209
newinstances/instance0_11882.npz,1,1024,64,1.2766873836517334
newinstances/instance0_11883.npz,1,1024,32,0.7136006355285645
newinstances/instance0_11884.npz,1,1024,16,0.3094058036804199
newinstances/instance0_11885.npz,1,1024,8,0.3548421859741211
newinstances/instance0_11886.npz,1,1024,128,0.33634233474731445
newinstances/instance0_11887.npz,1,1024,64,1.8335402011871338
newinstances/instance0_11888.npz,1,1024,32,0.5585081577301025
newinstances/instance0_11889.npz,1,1024,16,0.25980472564697266
newinstances/instance0_11890.npz,1,1024,128,1.7482526302337646
newinstances/instance0_11891.npz,1,1024,64,1.3573558330535889
newinstances/instance0_11892.npz,1,1024,32,0.7045085430145264
newinstances/instance0_11893.npz,1,1024,16,0.4817345142364502
newinstances/instance0_11894.npz,1,1024,128,1.16481614112854
newinstances/instance0_11895.npz,1,1024,64,1.8983640670776367
newinstances/instance0_11896.npz,1,1024,32,2.1013782024383545
newinstances/instance0_11897.npz,1,1024,16,0.5945076942443848
newinstances/instance0_11898.npz,1,1024,8,0.3233027458190918
newinstances/instance0_11899.npz,1,1024,128,0.34847402572631836
newinstances/instance0_11900.npz,1,1024,64,1.8599772453308105
