ID,startval,alpha,N,Delta,time
660,1,1.00E-07,2048,64,0.07422
661,1,1.00E-07,2048,32,0.06551
662,1,1.00E-07,2048,16,0.06401
663,1,1.00E-07,2048,8,0.06461
664,1,1.00E-07,2048,4,0.06008
665,1,1.00E-07,2048,2,0.05968
666,1,1.00E-07,2048,256,0.09856
667,1,1.00E-07,2048,128,0.09164
668,1,1.00E-07,2048,64,0.07583
669,1,1.00E-07,2048,32,0.065
670,1,1.00E-07,2048,16,0.06412
671,1,1.00E-07,2048,8,0.06503
672,1,1.00E-07,2048,4,0.06005
673,1,1.00E-07,2048,2,0.0596
674,1,1.00E-07,2048,256,0.10019
675,1,1.00E-07,2048,128,0.08116
676,1,1.00E-07,2048,64,0.07643
677,1,1.00E-07,2048,32,0.06535
678,1,1.00E-07,2048,16,0.06376
679,1,1.00E-07,2048,8,0.06528
680,1,1.00E-07,2048,4,0.05972
681,1,1.00E-07,2048,2,0.05972
682,1,1.00E-07,2048,1,0.06015
683,1,1.00E-07,2048,256,0.09582
684,1,1.00E-07,2048,128,0.08192
685,1,1.00E-07,2048,64,0.07501
686,1,1.00E-07,2048,32,0.06885
687,1,1.00E-07,2048,16,0.06687
688,1,1.00E-07,2048,8,0.0614
689,1,1.00E-07,2048,4,0.06034
690,1,1.00E-07,2048,2,0.0598
691,1,1.00E-07,2048,256,0.09572
692,1,1.00E-07,2048,128,0.08063
693,1,1.00E-07,2048,64,0.07595
694,1,1.00E-07,2048,32,0.06539
695,1,1.00E-07,2048,16,0.06419
696,1,1.00E-07,2048,8,0.06521
697,1,1.00E-07,2048,4,0.0598
698,1,1.00E-07,2048,2,0.05916
699,1,1.00E-07,2048,256,0.09554
700,1,1.00E-07,2048,128,0.08175
701,1,1.00E-07,2048,64,0.07693
702,1,1.00E-07,2048,32,0.06495
703,1,1.00E-07,2048,16,0.06417
704,1,1.00E-07,2048,8,0.06475
705,1,1.00E-07,2048,4,0.06047
706,1,1.00E-07,2048,2,0.0594
707,1,1.00E-07,2048,256,0.0955
708,1,1.00E-07,2048,128,0.08128
709,1,1.00E-07,2048,64,0.07669
710,1,1.00E-07,2048,32,0.06542
711,1,1.00E-07,2048,16,0.0637
712,1,1.00E-07,2048,8,0.06524
713,1,1.00E-07,2048,4,0.05988
714,1,1.00E-07,2048,2,0.05965
715,1,1.00E-07,2048,1,0.0604
716,1,1.00E-07,2048,256,0.096
717,1,1.00E-07,2048,128,0.08276
718,1,1.00E-07,2048,64,0.07539
719,1,1.00E-07,2048,32,0.0685
720,1,1.00E-07,2048,16,0.06713
721,1,1.00E-07,2048,8,0.06124
722,1,1.00E-07,2048,4,0.06075
723,1,1.00E-07,2048,2,0.06106
